21363 91286
1558 1 0.7
6399 1 0.7
18125 1 0.5
3826 2 0.8
5225 2 0.2
5886 2 0.8
6738 2 0.7
7144 2 0.6
10541 2 0.9
18097 2 0.5
20242 2 0.4
3091 3 0.7
4260 3 0.8
7444 4 0.8
9588 4 0.6
11492 4 0.3
19002 4 0.7
1571 5 0.5
5382 5 0.4
11485 5 0.6
12206 5 0.4
16221 5 0.5
2190 6 0.9
7725 6 0.6
1931 7 0.6
17731 7 0.5
20338 7 0.6
841 8 0.5
1453 8 0.3
1946 8 0.2
5878 8 0.5
6253 8 0.9
6609 8 0.8
7301 8 0.4
7389 8 0.8
9025 8 0.7
9487 8 0.9
12949 8 0.6
13338 8 0.5
13537 8 0.7
15147 8 0.8
16135 8 0.7
16164 8 0.3
17096 8 0.3
19770 8 0.7
20784 8 0.7
21047 8 0.8
223 9 0.5
240 9 0.9
6831 9 0.4
11322 9 0.5
15050 9 0.6
17139 9 0.7
1393 10 0.3
5516 10 0.7
6588 10 0.6
11731 10 0.5
12243 10 0.5
13309 10 0.5
2042 11 0.7
17042 11 0.6
17481 11 0.9
19676 11 0.5
3076 12 0.8
4571 12 0.1
7665 12 0.9
13250 12 0.1
16689 12 0.4
16962 12 0.1
19522 12 0.2
14 13 0.8
1071 13 0.6
1312 13 0.5
4529 13 0.3
6042 13 0.6
8013 13 0.6
9533 13 0.1
10651 13 0.2
18736 13 0.2
1071 14 0.3
1312 14 0.5
6042 14 0.5
8013 14 0.8
9533 14 0.6
10651 14 0.2
3260 15 0.8
4844 15 0.1
5200 15 0.5
5903 15 0.3
7105 15 0.9
8826 15 0.7
13463 15 0.8
14490 15 0.8
14806 15 0.1
16769 15 0.2
18645 15 0.7
20385 15 0.1
1797 16 0.6
2467 16 0.9
3107 16 0.5
6071 16 0.8
8075 16 0.8
9287 16 0.1
10462 16 0.8
12301 16 0.2
14727 16 0.5
6894 17 0.6
7257 17 0.6
10257 17 0.4
7043 18 0.5
14155 18 0.6
20 19 0.6
5087 19 0.5
18528 19 0.8
20135 19 0.8
11267 21 0.2
15743 21 0.2
9113 22 0.4
12920 22 0.4
13039 22 0.2
942 23 0.6
3825 23 0.3
5178 23 0.8
5449 23 0.8
5721 23 0.7
9560 23 0.6
9750 23 0.8
16334 23 0.7
19096 23 0.6
2390 24 0.2
9332 24 0.2
9595 24 0.3
13069 24 0.4
13516 24 0.2
18550 24 0.8
18782 24 0.1
21180 24 0.8
21181 24 0.5
4274 25 0.6
17458 25 0.2
1070 26 0.7
5702 26 0.8
12192 26 0.4
6214 27 0.9
8146 27 0.8
8352 27 0.5
10170 27 0.2
16286 27 0.3
18109 27 0.4
18590 27 0.3
19296 27 0.8
20714 27 0.7
20730 27 0.7
9114 28 0.1
9244 28 0.5
11808 28 0.6
13375 28 0.2
18598 28 0.6
20666 28 0.8
20824 28 0.8
31 29 0.5
555 29 0.3
8000 29 0.6
11782 29 0.2
13076 29 0.8
13439 29 0.4
13645 29 0.6
13768 29 0.6
16556 29 0.9
17175 29 0.6
18326 29 0.2
695 30 0.1
4211 30 0.7
7034 30 0.8
7958 30 0.2
8910 30 0.6
10071 30 0.3
10135 30 0.9
11676 30 0.5
13757 30 0.7
14355 30 0.8
14563 30 0.1
14722 30 0.8
15256 30 0.4
17377 30 0.5
461 31 0.7
555 31 0.6
8740 31 0.8
9476 31 0.3
10385 31 0.9
11782 31 0.2
13044 31 0.2
13645 31 0.3
16556 31 0.5
17064 31 0.6
18326 31 0.5
18364 31 0.8
18627 31 0.3
18667 31 0.7
18673 31 0.7
20191 31 0.4
441 32 0.8
1658 32 0.7
2884 32 0.5
2892 32 0.1
4706 32 0.7
4944 32 0.4
9872 32 0.8
10163 32 0.6
17790 32 0.7
19441 32 0.3
19776 32 0.7
20033 32 0.3
3434 33 0.6
4755 33 0.6
15781 33 0.3
17738 33 0.2
19264 33 0.6
21091 33 0.2
856 34 0.4
2728 34 0.6
7574 34 0.7
7728 34 0.8
8669 34 0.6
8918 34 0.7
16811 34 0.8
17342 34 0.2
19963 34 0.5
20771 34 0.8
1482 35 0.8
1972 35 0.4
4455 35 0.2
4585 35 0.7
5197 35 0.6
5356 35 0.8
6202 35 0.5
8278 35 0.7
8961 35 0.2
9370 35 0.2
9598 35 0.5
10485 35 0.7
10687 35 0.4
10752 35 0.2
11389 35 0.6
12800 35 0.8
13220 35 0.4
14598 35 0.3
15491 35 0.2
20771 35 0.2
382 36 0.8
4601 36 0.2
10725 36 0.5
18045 36 0.2
3255 37 0.2
7191 37 0.6
13915 37 0.9
14275 37 0.2
18898 37 0.6
20455 37 0.2
19791 38 0.8
402 39 0.8
2493 39 0.1
3777 39 0.3
5029 39 0.5
5385 39 0.8
14067 39 0.5
17162 39 0.7
18797 39 0.8
19828 39 0.4
6968 40 0.6
8182 40 0.2
9240 40 0.6
11240 40 0.3
19058 40 0.2
19328 40 0.7
3071 41 0.7
4190 41 0.1
6785 41 0.8
8809 41 0.8
17212 41 0.1
6972 42 0.3
7206 42 0.4
7494 42 0.6
13614 42 0.9
17379 42 0.2
19550 42 0.6
20709 42 0.7
20745 42 0.4
3147 43 0.3
6346 43 0.6
6759 43 0.4
6780 43 0.3
8038 43 0.2
9032 43 0.6
10415 43 0.8
13761 43 0.8
15021 43 0.2
15295 43 0.5
15945 43 0.3
19960 43 0.2
20665 43 0.5
1361 44 0.6
2300 44 0.3
4658 44 0.1
5141 44 0.2
6098 44 0.8
6230 44 0.6
6940 44 0.3
8554 44 0.6
9085 44 0.4
10277 44 0.5
11190 44 0.2
11636 44 0.7
12841 44 0.8
12978 44 0.4
14002 44 0.5
15220 44 0.4
18201 44 0.8
1934 45 0.2
12184 45 0.7
1481 46 0.2
2134 46 0.8
3719 46 0.5
4165 46 0.4
5622 46 0.3
5646 46 0.5
8274 46 0.6
9567 46 0.2
11449 46 0.8
12703 46 0.6
14420 46 0.2
14947 46 0.8
15000 46 0.2
16796 46 0.5
3676 47 0.7
4790 47 0.7
4870 47 0.3
10351 47 0.2
12672 47 0.5
13270 47 0.2
14143 47 0.2
15346 47 0.2
15792 47 0.3
16948 47 0.8
18356 47 0.5
316 48 0.4
1090 48 0.9
3287 48 0.6
3690 48 0.5
4085 48 0.4
5984 48 0.4
6011 48 0.6
9310 48 0.9
14172 48 0.9
14359 48 0.1
14585 48 0.3
14632 48 0.8
16507 48 0.6
17972 48 0.5
18825 48 0.5
6235 49 0.8
9926 49 0.5
321 50 0.5
976 50 0.8
1611 50 0.3
2950 50 0.2
4235 50 0.9
8953 50 0.2
9161 50 0.4
9793 50 0.8
10439 50 0.4
12356 50 0.6
16498 50 0.1
16628 50 0.5
16887 50 0.6
19644 50 0.3
20862 50 0.7
442 51 0.4
2656 51 0.7
4855 51 0.2
5724 51 0.9
9442 51 0.9
12694 51 0.9
1685 52 0.6
2707 52 0.8
5169 52 0.9
5250 52 0.3
5259 52 0.3
10898 52 0.3
19541 52 0.3
21303 52 0.4
10457 53 0.4
13544 53 0.4
98 54 0.1
1709 54 0.6
7921 54 0.6
8996 54 0.7
11996 54 0.2
12764 54 0.5
14582 54 0.4
18497 54 0.8
19705 54 0.7
21051 54 0.7
7261 55 0.8
7696 55 0.4
12752 55 0.5
4358 56 0.8
4516 56 0.8
3972 57 0.6
5243 57 0.6
11752 57 0.8
9838 58 0.9
16023 58 0.8
18700 58 0.8
930 59 0.6
1641 59 0.8
1954 59 0.4
5193 59 0.8
7138 59 0.5
7565 59 0.6
9038 59 0.7
12510 59 0.7
16683 59 0.5
17051 59 0.2
18203 59 0.5
20227 59 0.7
21315 59 0.6
958 60 0.2
1521 60 0.6
2243 60 0.8
9480 60 0.6
12123 60 0.4
18803 60 0.4
20495 60 0.7
20985 60 0.7
2458 61 0.6
5963 61 0.3
15057 61 0.8
17258 61 0.3
19900 61 0.9
20529 61 0.7
20607 61 0.5
20842 61 0.2
21112 61 0.7
2962 62 0.5
6205 62 0.9
8837 62 0.4
9289 62 0.8
9684 62 0.6
11283 62 0.7
12049 62 0.7
17450 62 0.1
17563 62 0.9
18691 62 0.6
20295 62 0.8
20346 62 0.4
20458 62 0.5
1930 63 0.5
10557 63 0.6
17970 63 0.2
1817 64 0.6
11991 64 0.7
16475 64 0.3
20980 64 0.4
13455 65 0.7
17640 65 0.4
18750 65 0.5
12076 66 0.6
5807 67 0.1
11615 67 0.7
12874 67 0.8
1205 68 0.1
1613 68 0.8
2941 68 0.8
11432 68 0.2
13489 68 0.7
14053 68 0.7
15303 68 0.2
18075 68 0.7
19530 68 0.3
1093 69 0.7
1715 69 0.1
2253 69 0.4
3762 69 0.9
7356 69 0.6
7455 69 0.8
8462 69 0.8
11186 69 0.9
12922 69 0.2
13470 69 0.1
14135 69 0.6
16149 69 0.5
18417 69 0.6
18808 69 0.6
20153 69 0.4
11438 70 0.2
19559 70 0.8
774 71 0.7
3382 71 0.8
6363 71 0.7
8170 71 0.8
9249 71 0.8
12271 71 0.6
17408 71 0.8
6199 72 0.2
7679 72 0.7
19116 72 0.6
20792 72 0.1
2288 73 0.3
2850 73 0.5
8206 73 0.6
13980 73 0.5
15452 73 0.1
20172 73 0.7
20412 73 0.1
273 74 0.3
3402 74 0.5
3700 74 0.7
7921 74 0.7
13418 74 0.8
15899 74 0.8
16335 74 0.3
6069 75 0.2
7250 75 0.3
7583 75 0.4
12060 75 0.5
4380 76 0.8
9103 76 0.5
9586 76 0.4
11530 76 0.2
2617 77 0.6
2661 77 0.6
2671 77 0.6
3533 77 0.6
3560 77 0.2
5136 77 0.2
5243 77 0.7
6651 77 0.6
8132 77 0.3
11555 77 0.1
12512 77 0.1
14033 77 0.7
14079 77 0.4
15693 77 0.2
19232 77 0.7
7283 78 0.7
7963 78 0.1
8083 78 0.5
13558 78 0.9
16294 78 0.9
