2708 5278
1 9 0.4
1 436 0.4
1 545 0.7
4 198 0.8
4 464 0.5
4 602 0.5
5 171 0.8
9 436 0.9
13 156 0.6
14 483 0.1
15 1 0.5
15 9 0.1
15 32 0.5
15 233 0.8
15 243 0.2
15 259 0.7
15 269 0.2
15 385 0.7
15 394 0.3
15 401 0.4
15 436 0.6
15 438 0.8
15 444 0.7
15 545 0.2
15 614 0.2
15 709 0.4
15 737 0.2
15 747 0.5
15 752 0.4
16 81 0.7
16 130 0.7
16 153 0.3
16 235 0.5
16 254 0.5
16 255 0.3
16 323 0.1
16 400 0.7
16 539 0.6
16 702 0.6
19 128 0.9
19 867 0.3
19 891 0.3
19 1933 0.8
20 572 0.9
21 268 0.3
23 1791 0.1
23 2258 0.4
26 21 0.3
26 457 0.5
26 779 0.3
26 1182 0.4
26 1898 0.7
27 1130 0.6
28 533 0.3
29 587 0.4
31 232 0.5
31 286 0.3
31 680 0.8
31 1149 0.2
31 2277 0.1
33 680 0.7
34 1702 0.8
36 35 0.3
37 1067 0.9
37 1702 0.4
37 1975 0.3
37 2073 0.7
37 2391 0.6
38 564 0.5
39 274 0.8
39 373 0.7
39 564 0.4
40 25 0.6
40 83 0.4
41 762 0.8
42 24 0.6
42 95 0.4
42 116 0.7
42 353 0.2
42 534 0.6
42 726 0.8
42 890 0.7
42 893 0.4
42 1714 0.2
42 1734 0.1
42 1983 0.5
42 2457 0.4
43 189 0.5
44 577 0.6
46 221 0.7
47 239 0.7
47 868 0.2
49 1784 0.7
49 2457 0.8
49 2683 0.3
53 2488 0.5
53 2581 0.6
56 362 0.4
56 845 0.6
56 1833 0.3
56 1906 0.7
58 307 0.5
59 537 0.8
59 991 0.4
59 1892 0.8
59 2496 0.3
60 571 0.4
60 873 0.7
60 875 0.7
60 1710 0.2
61 253 0.7
61 689 0.5
63 325 0.4
63 333 0.4
63 424 0.3
63 946 0.7
63 2426 0.4
63 2475 0.3
63 2567 0.5
64 154 0.4
64 211 0.7
64 740 0.5
64 1547 0.8
65 285 0.3
67 35 0.1
67 70 0.9
67 150 0.9
67 184 0.7
67 216 0.6
67 289 0.4
67 1249 0.1
67 1532 0.3
67 1699 0.6
67 2123 0.7
67 2158 0.1
67 2295 0.3
67 2311 0.7
67 2360 0.3
67 2442 0.5
67 2521 0.6
69 523 0.1
69 980 0.8
69 1633 0.8
69 1826 0.5
69 1846 0.4
69 1980 0.3
69 2008 0.8
71 256 0.8
71 932 0.7
71 1000 0.8
71 1522 0.3
71 1693 0.9
71 1987 0.1
72 662 0.1
72 678 0.5
72 930 0.8
72 1560 0.4
72 1642 0.8
72 1924 0.7
72 2443 0.9
73 203 0.7
73 772 0.4
75 20 0.6
75 72 0.6
75 155 0.6
75 253 0.6
75 264 0.8
75 311 0.3
75 346 0.4
75 378 0.2
75 506 0.2
75 512 0.4
75 548 0.2
75 605 0.7
75 623 0.7
75 662 0.4
75 681 0.9
75 788 0.8
75 868 0.2
75 872 0.2
75 882 0.4
75 907 0.4
75 950 0.2
75 976 0.8
75 988 0.8
75 1018 0.2
75 1025 0.5
75 1104 0.8
75 1221 0.6
75 1635 0.2
75 1677 0.1
75 1929 0.2
75 2014 0.5
75 2125 0.1
75 2267 0.2
75 2285 0.8
75 2336 0.4
75 2391 0.3
75 2514 0.4
75 2655 0.5
76 289 0.6
76 1855 0.8
76 1856 0.9
76 2123 0.9
76 2300 0.9
77 132 0.1
77 182 0.6
77 251 0.3
